Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,1444.645630,1476.647339,1437.605347,1441.719849,1421.214600,33542531
2020-05-12,1430.747803,1433.993774,1339.497437,1352.526611,1333.289917,50341601
2020-05-13,1409.420532,1409.420532,1342.041504,1381.222900,1361.578003,33215062
2020-05-14,1355.886475,1381.453613,1319.935669,1325.381348,1306.530640,24633385
2020-05-15,1332.811523,1353.763672,1306.136841,1347.025757,1327.867188,31076130
2020-05-18,1356.809570,1367.885498,1318.043579,1329.811768,1310.898071,31398044
2020-05-19,1344.810547,1349.148682,1295.199341,1300.414185,1281.918579,21157927
2020-05-20,1301.429565,1335.442139,1285.738525,1323.304688,1304.483643,27660492
2020-05-21,1324.504517,1348.917847,1315.274536,1330.273315,1311.353027,19583990
2020-05-22,1340.010986,1345.733521,1316.659058,1321.320190,1302.527222,18914486
2020-05-26,1336.641968,1338.072632,1307.244385,1314.397705,1295.703125,16608317
2020-05-27,1320.812500,1342.041504,1303.275513,1334.242188,1315.265503,17833978
2020-05-28,1342.964478,1365.808716,1337.426514,1358.886230,1339.558960,20063139
2020-05-29,1354.963501,1358.655518,1340.795532,1351.640747,1332.416504,20011263
2020-06-01,1366.039551,1419.896606,1362.301392,1403.282593,1383.323975,19971851
2020-06-02,1408.497559,1421.419556,1403.697876,1417.450562,1397.290283,11076980
2020-06-03,1426.034546,1439.879517,1415.281494,1422.942505,1402.704224,12690644
2020-06-04,1425.111450,1467.108032,1422.342529,1458.154907,1437.415771,17101175
2020-06-05,1472.184448,1493.413452,1452.524536,1459.908569,1439.144531,16538342
2020-06-08,1493.782715,1493.782715,1444.494507,1448.647949,1428.044189,15707476
2020-06-09,1440.156372,1461.108521,1414.958496,1418.788940,1398.609741,12928580
2020-06-10,1424.280762,1457.924194,1421.465698,1451.093994,1430.455322,11066323
2020-06-11,1445.417480,1447.217285,1413.112549,1419.296631,1399.110229,10192902
2020-06-12,1384.499512,1470.338501,1381.730469,1466.461914,1445.604736,19274449
2020-06-15,1444.494507,1501.674316,1440.894775,1490.229126,1469.033813,26553701
2020-06-16,1516.488525,1521.611084,1463.231323,1493.136597,1471.899902,25593501
2020-06-17,1484.414185,1509.519775,1478.737793,1490.967529,1469.761719,20891026
2020-06-18,1483.260498,1536.794434,1481.968262,1528.395142,1506.657104,20235778
2020-06-19,1541.409424,1651.061768,1534.025513,1623.925659,1600.828857,52902086
2020-06-22,1636.847656,1665.276001,1601.404419,1611.695923,1588.772949,30099352
2020-06-23,1615.249390,1627.940674,1583.959717,1588.390137,1565.798706,18981039
2020-06-24,1602.235107,1636.201538,1579.898560,1594.804932,1572.122192,25793110
2020-06-25,1594.020386,1614.326416,1581.144653,1585.621094,1563.068970,19839687
2020-06-26,1595.681885,1617.095459,1584.790405,1607.542358,1584.678467,15460956
2020-06-29,1594.989624,1605.788696,1583.452148,1590.466919,1567.845947,12810973
2020-06-30,1603.250488,1606.942383,1564.992065,1572.883789,1550.512939,15138210
2020-07-01,1587.559448,1614.326416,1576.529541,1603.804199,1580.993652,14232051
2020-07-02,1608.788452,1631.494263,1601.450562,1624.802490,1608.211060,14394766
2020-07-03,1642.754761,1654.938477,1631.863403,1650.231079,1633.380005,14717133
2020-07-06,1666.014404,1714.933350,1654.107666,1709.210815,1691.757446,23508092
2020-07-07,1716.779419,1720.794434,1667.214355,1683.043701,1665.857666,17594794
2020-07-08,1683.597534,1693.658203,1652.169434,1659.553467,1642.607178,13102047
